,km_driven,fuel,seller_type,transmission,owner,seats,age,mileage_count,engine_volume,max_power_count,torque_1,rpm_min,rpm_max
61,135000,Diesel,Individual,Manual,First Owner,5.0,6,21.335,1498.0,98.6,200.0,1750.0,1750.0
62,30000,Petrol,Individual,Automatic,First Owner,5.0,3,15.3825,998.0,67.0,90.0,3500.0,3500.0
63,80000,Diesel,Individual,Manual,First Owner,5.0,4,18.411,1498.0,108.62,250.0,1500.0,3000.0
64,9850,Diesel,Individual,Automatic,First Owner,5.0,2,20.655,1248.0,88.5,200.0,1750.0,1750.0
65,70000,Diesel,Individual,Manual,First Owner,5.0,5,21.419999999999998,1248.0,74.0,190.0,2000.0,2000.0
66,78000,Diesel,Individual,Manual,Second Owner,7.0,6,10.6675,2982.0,168.5,343.0,1400.0,3400.0
67,120000,Diesel,Individual,Manual,Second Owner,5.0,8,19.465,1248.0,74.0,190.0,2000.0,2000.0
68,120000,Petrol,Individual,Manual,Second Owner,7.0,9,12.015,1373.0,93.7,130.0,4000.0,4000.0
70,170000,Diesel,Individual,Manual,First Owner,5.0,8,17.459,1598.0,103.6,250.0,1500.0,2500.0
71,140000,Diesel,Individual,Manual,First Owner,8.0,5,11.0415,2494.0,100.6,200.0,1200.0,3600.0
72,90000,Diesel,Individual,Manual,First Owner,5.0,6,19.354499999999998,1498.0,98.59,205.0,1750.0,3250.0
73,30000,Petrol,Individual,Automatic,Second Owner,5.0,5,11.7825,1998.0,189.0,280.0,1350.0,4600.0
74,10000,Petrol,Dealer,Manual,First Owner,5.0,4,17.325000000000003,998.0,67.04,90.0,3500.0,3500.0
75,49000,Petrol,Dealer,Manual,First Owner,5.0,5,14.265,1198.0,67.05,104.0,4000.0,4000.0
76,32000,Petrol,Dealer,Manual,First Owner,5.0,5,18.525,796.0,47.3,69.0,3500.0,3500.0
77,38000,Petrol,Dealer,Manual,First Owner,5.0,5,18.525,796.0,47.3,69.0,3500.0,3500.0
79,28000,Petrol,Dealer,Manual,First Owner,5.0,9,14.857499999999998,1086.0,68.05,99.04,4500.0,4500.0
80,32000,Petrol,Dealer,Manual,First Owner,5.0,4,10.5,796.0,35.0,59.78,3000.0,3000.0
81,44000,LPG,Dealer,Manual,First Owner,5.0,11,26.2,998.0,58.2,77.0,3500.0,3500.0
82,42000,Petrol,Dealer,Manual,First Owner,5.0,6,12.3525,1198.0,74.0,110.0,3750.0,3750.0
83,45000,Petrol,Dealer,Manual,Second Owner,5.0,6,14.857499999999998,1086.0,68.05,99.04,4500.0,4500.0
84,12000,Petrol,Dealer,Manual,Second Owner,5.0,9,11.28,1598.0,103.6,153.0,3800.0,3800.0
85,55500,Petrol,Dealer,Manual,First Owner,5.0,12,13.649999999999999,998.0,67.1,90.0,3500.0,3500.0
86,61500,Petrol,Dealer,Manual,First Owner,5.0,8,13.875,1197.0,82.85,113.7,4000.0,4000.0
87,150000,Diesel,Individual,Manual,First Owner,5.0,5,22.601499999999998,1248.0,74.0,190.0,2000.0,2000.0
88,72000,Petrol,Dealer,Automatic,First Owner,5.0,5,14.325000000000001,1197.0,82.0,114.0,4000.0,4000.0
89,68000,Petrol,Dealer,Manual,Third Owner,5.0,13,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
90,110000,Diesel,Individual,Manual,First Owner,5.0,4,19.159,1396.0,88.73,219.7,1500.0,2750.0
91,77000,Petrol,Dealer,Manual,Second Owner,5.0,12,16.3425,998.0,67.05,90.0,3500.0,3500.0
92,100000,Diesel,Individual,Manual,Second Owner,5.0,11,15.98,1248.0,90.0,200.0,1750.0,3000.0
93,10000,Petrol,Individual,Manual,First Owner,5.0,2,15.9075,1197.0,81.8,113.0,4200.0,4200.0
94,35000,Petrol,Individual,Manual,First Owner,5.0,3,16.049999999999997,1197.0,83.1,115.0,4000.0,4000.0
95,70000,Diesel,Individual,Automatic,Second Owner,8.0,7,10.0215,2179.0,120.0,290.0,1800.0,2800.0
96,5000,Petrol,Individual,Manual,Second Owner,5.0,1,14.25,1194.0,94.68,120.0,4250.0,4250.0
97,37800,Petrol,Individual,Manual,First Owner,5.0,4,12.75,1591.0,121.3,151.0,4850.0,4850.0
98,114000,Petrol,Individual,Manual,First Owner,5.0,11,10.725000000000001,1798.0,160.0,250.0,1500.0,4500.0
99,32000,Diesel,Individual,Manual,First Owner,7.0,2,12.834999999999999,2179.0,155.0,360.0,1750.0,2800.0
100,100000,Diesel,Individual,Manual,First Owner,5.0,5,16.226499999999998,1405.0,69.01,135.0,2500.0,2500.0
101,150000,Diesel,Individual,Manual,Second Owner,5.0,8,18.972,1582.0,126.32,259.8,1900.0,2750.0
102,69000,Diesel,Individual,Manual,First Owner,5.0,8,18.615,1396.0,88.76,219.6,1500.0,2750.0
103,100000,Petrol,Individual,Manual,Second Owner,5.0,12,10.897499999999999,1798.0,138.1,173.0,4000.0,4000.0
104,13000,Petrol,Individual,Manual,First Owner,5.0,1,16.2225,998.0,67.04,90.0,3500.0,3500.0
105,60000,Diesel,Individual,Manual,First Owner,5.0,5,20.655,1248.0,88.5,200.0,1750.0,1750.0
106,40000,Petrol,Individual,Manual,First Owner,5.0,4,15.637500000000001,1197.0,83.14,115.0,4000.0,4000.0
108,70000,Diesel,Individual,Manual,Third Owner,5.0,7,17.3825,1461.0,83.8,200.0,1900.0,1900.0
109,50000,Diesel,Individual,Manual,First Owner,5.0,5,16.7195,1582.0,126.2,259.9,1900.0,2750.0
110,175000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,9,16.405,1248.0,73.9,190.0,2000.0,2000.0
111,25000,Petrol,Individual,Manual,First Owner,5.0,3,17.2575,999.0,67.0,91.0,4250.0,4250.0
112,40000,Petrol,Individual,Manual,Second Owner,5.0,6,17.325000000000003,998.0,67.04,90.0,3500.0,3500.0
113,65000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,13,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
114,80000,Petrol,Individual,Manual,Second Owner,5.0,12,13.440000000000001,1086.0,62.1,96.1,3000.0,3000.0
115,110000,Diesel,Individual,Manual,Second Owner,7.0,6,17.6545,1248.0,88.76,200.0,1750.0,1750.0
116,1303,Petrol,Dealer,Manual,First Owner,5.0,2,13.350000000000001,1198.0,86.7,109.0,4500.0,4500.0
117,31800,Diesel,Dealer,Automatic,First Owner,5.0,3,14.4585,1968.0,188.0,400.0,1750.0,3000.0
118,20000,Petrol,Dealer,Automatic,First Owner,5.0,2,16.7775,2487.0,214.56,202.0,3600.0,5200.0
119,45000,Diesel,Dealer,Automatic,First Owner,5.0,4,16.4305,1999.0,177.0,430.0,1750.0,2500.0
120,21000,Diesel,Dealer,Automatic,First Owner,7.0,2,10.9055,1999.0,148.31,382.0,1750.0,2250.0
121,37000,Diesel,Dealer,Automatic,First Owner,5.0,4,11.475,2987.0,254.79,620.0,1600.0,2400.0
122,29500,Diesel,Dealer,Automatic,First Owner,5.0,3,19.108,1995.0,187.74,400.0,1750.0,2500.0
124,7500,Diesel,Dealer,Automatic,First Owner,5.0,2,14.263,1995.0,190.0,400.0,1750.0,2500.0
125,50000,Petrol,Dealer,Automatic,First Owner,5.0,3,11.0025,1798.0,177.46,250.0,1250.0,5000.0
126,35000,Diesel,Dealer,Automatic,First Owner,5.0,5,12.75,2143.0,204.0,500.0,1600.0,1800.0
127,19000,Petrol,Dealer,Automatic,First Owner,5.0,2,10.47,1451.0,141.0,250.0,1600.0,3600.0
128,39000,Petrol,Dealer,Automatic,First Owner,5.0,8,10.709999999999999,1798.0,138.03,173.0,4000.0,4000.0
130,53000,Diesel,Dealer,Automatic,First Owner,7.0,6,10.2595,2967.0,241.4,550.0,1750.0,2750.0
131,40000,Diesel,Dealer,Manual,First Owner,5.0,6,22.2785,1248.0,88.5,200.0,1750.0,1750.0
132,47000,Diesel,Dealer,Automatic,First Owner,5.0,4,11.475,2987.0,282.0,490.0,1600.0,1600.0
133,72200,Petrol,Dealer,Automatic,Second Owner,5.0,11,8.100000000000001,2497.0,150.0,250.0,2750.0,2750.0
134,9000,Diesel,Dealer,Automatic,First Owner,5.0,4,11.559999999999999,1999.0,177.0,430.0,1750.0,2500.0
135,11000,Petrol,Dealer,Manual,First Owner,5.0,3,12.75,1198.0,108.5,170.0,1750.0,4000.0
136,49000,Petrol,Individual,Manual,First Owner,5.0,10,11.28,1598.0,103.6,153.0,3800.0,3800.0
137,95000,Petrol,Individual,Manual,First Owner,5.0,9,12.225000000000001,1797.0,147.5,177.5,4700.0,4700.0
138,11000,Petrol,Dealer,Automatic,First Owner,5.0,5,10.725000000000001,1598.0,103.5,153.0,3800.0,3800.0
139,18000,Petrol,Dealer,Automatic,First Owner,5.0,3,11.28,1991.0,183.0,300.0,1200.0,4000.0
140,16000,Petrol,Dealer,Automatic,First Owner,5.0,4,11.055,1991.0,181.04,300.0,1200.0,1400.0
141,18000,Petrol,Dealer,Automatic,First Owner,5.0,4,11.7,1497.0,116.3,146.0,4800.0,4800.0
142,9654,Petrol,Dealer,Automatic,First Owner,5.0,2,14.669999999999998,1197.0,81.8,113.0,4200.0,4200.0
143,11000,Petrol,Dealer,Manual,First Owner,5.0,10,17.9625,998.0,67.05,90.0,3500.0,3500.0
144,24300,Petrol,Dealer,Manual,First Owner,5.0,9,15.9075,1197.0,81.8,113.0,4200.0,4200.0
145,8000,Diesel,Dealer,Automatic,First Owner,5.0,3,18.275,1497.0,108.5,260.0,1500.0,2750.0
146,30000,Diesel,Dealer,Automatic,First Owner,5.0,5,19.2865,1995.0,190.0,400.0,1750.0,2500.0
147,41000,Petrol,Dealer,Automatic,First Owner,5.0,5,14.370000000000001,2494.0,157.7,213.0,4500.0,4500.0
148,12000,Diesel,Dealer,Automatic,First Owner,5.0,5,15.402000000000001,1995.0,190.0,400.0,1750.0,2500.0
149,71000,Petrol,Dealer,Automatic,First Owner,5.0,12,9.075,2362.0,164.7,224.0,4000.0,4000.0
150,20000,Petrol,Individual,Manual,First Owner,7.0,5,13.125,1373.0,91.1,130.0,4000.0,4000.0
151,30000,Petrol,Individual,Automatic,First Owner,4.0,4,31.5,1969.0,400.0,640.0,1740.0,1740.0
152,9500,Petrol,Individual,Manual,First Owner,5.0,3,13.620000000000001,1196.0,86.8,112.0,4000.0,4000.0
153,120000,Diesel,Individual,Manual,First Owner,5.0,10,17.0,1399.0,68.0,160.0,2000.0,2000.0
154,36600,Petrol,Individual,Manual,First Owner,5.0,6,15.299999999999999,1197.0,81.8,113.0,4200.0,4200.0
155,50000,Petrol,Individual,Automatic,Second Owner,5.0,6,15.3825,998.0,67.0,90.0,3500.0,3500.0
156,14000,Petrol,Individual,Manual,Second Owner,5.0,5,13.950000000000001,1197.0,81.83,114.7,4000.0,4000.0
157,40000,Petrol,Individual,Manual,Second Owner,4.0,14,12.075000000000001,796.0,37.0,59.0,2500.0,2500.0
158,120000,Diesel,Individual,Manual,First Owner,5.0,11,17.935000000000002,1248.0,73.9,113.0,4500.0,4500.0
159,70000,Petrol,Individual,Manual,First Owner,5.0,6,14.174999999999999,1197.0,82.0,114.0,4000.0,4000.0
160,13000,Petrol,Individual,Manual,First Owner,5.0,2,14.580000000000002,999.0,75.0,95.0,3000.0,4300.0
161,35000,Petrol,Individual,Manual,First Owner,5.0,7,14.325000000000001,1197.0,85.8,114.0,4000.0,4000.0
162,44000,Petrol,Individual,Manual,Second Owner,5.0,5,14.325000000000001,1197.0,82.0,114.0,4000.0,4000.0
163,120000,Petrol,Individual,Manual,Second Owner,5.0,14,9.75,1493.0,100.0,128.38,4600.0,4600.0
164,60000,Diesel,Individual,Manual,First Owner,5.0,11,18.2155,1364.0,87.2,205.0,1800.0,2800.0
165,60000,Petrol,Individual,Manual,First Owner,5.0,14,13.875,796.0,53.0,71.0,3500.0,3500.0
166,30000,Diesel,Individual,Manual,Second Owner,7.0,7,11.049999999999999,2982.0,168.5,343.0,1400.0,3400.0
167,15000,Petrol,Individual,Manual,Second Owner,6.0,5,13.612499999999999,1198.0,82.0,115.0,3500.0,3600.0
168,90000,Diesel,Individual,Manual,First Owner,5.0,4,19.5075,1248.0,74.0,190.0,1750.0,3000.0
169,47000,Petrol,Individual,Manual,Second Owner,5.0,12,12.75,1497.0,118.0,146.0,4800.0,4800.0
170,90000,Petrol,Individual,Manual,First Owner,5.0,14,12.975000000000001,993.0,60.0,78.0,4500.0,4500.0
171,86000,Petrol,Individual,Manual,First Owner,5.0,14,11.475000000000001,1341.0,83.0,115.0,3200.0,3200.0
172,37000,Diesel,Individual,Manual,First Owner,5.0,4,23.8765,1248.0,88.5,200.0,1750.0,1750.0
173,14000,Petrol,Individual,Manual,First Owner,5.0,2,15.225000000000001,1199.0,84.0,114.0,3500.0,3500.0
174,70000,Diesel,Individual,Manual,First Owner,7.0,6,17.6545,1248.0,88.76,200.0,1750.0,1750.0
176,50000,Petrol,Individual,Manual,First Owner,5.0,6,13.049999999999999,1497.0,117.3,145.0,4600.0,4600.0
177,50000,CNG,Individual,Manual,First Owner,5.0,5,26.6,998.0,58.16,77.0,3500.0,3500.0
178,50000,Petrol,Individual,Manual,First Owner,5.0,4,15.637500000000001,1197.0,83.14,115.0,4000.0,4000.0
180,35000,Petrol,Individual,Automatic,First Owner,5.0,3,15.3825,998.0,67.0,90.0,3500.0,3500.0
181,20000,Petrol,Individual,Manual,First Owner,5.0,4,15.9075,1197.0,81.8,113.0,4200.0,4200.0
182,7800,Petrol,Individual,Automatic,First Owner,5.0,3,16.5,1197.0,81.8,113.0,4200.0,4200.0
183,20000,Petrol,Individual,Manual,First Owner,5.0,4,15.299999999999999,1197.0,81.8,113.0,4200.0,4200.0
184,15000,Diesel,Individual,Manual,First Owner,7.0,2,14.96,2179.0,147.94,320.0,1500.0,3000.0
185,31377,Petrol,Individual,Manual,Second Owner,5.0,8,13.875,1197.0,82.85,113.7,4000.0,4000.0
186,50000,Diesel,Individual,Manual,First Owner,5.0,3,24.139999999999997,1248.0,74.02,190.0,2000.0,2000.0
187,60000,Petrol,Individual,Manual,First Owner,5.0,6,15.3825,998.0,67.04,90.0,3500.0,3500.0
188,100000,Petrol,Individual,Automatic,First Owner,5.0,9,10.897499999999999,1794.0,138.1,173.0,4000.0,4000.0
189,5000,Petrol,Individual,Automatic,First Owner,5.0,3,16.049999999999997,1197.0,83.1,115.0,4000.0,4000.0
190,60000,Diesel,Individual,Manual,First Owner,7.0,4,11.985,2179.0,147.94,320.0,1500.0,3000.0
191,80000,Petrol,Individual,Manual,Second Owner,5.0,4,15.4725,1198.0,67.0,104.0,4000.0,4000.0
192,75000,Diesel,Individual,Manual,First Owner,5.0,4,20.655,1248.0,88.5,200.0,1750.0,1750.0
193,32000,Petrol,Individual,Manual,First Owner,5.0,1,15.105,1197.0,81.86,113.75,4000.0,4000.0
194,40000,Petrol,Individual,Manual,First Owner,5.0,6,17.055,796.0,47.3,69.0,3500.0,3500.0
195,93000,Petrol,Individual,Manual,Second Owner,5.0,9,12.75,1197.0,80.0,111.72000000000001,4000.0,4000.0
196,60000,Petrol,Individual,Manual,First Owner,5.0,3,13.1775,1193.0,88.7,140.0,1500.0,4000.0
198,37000,Petrol,Individual,Manual,First Owner,5.0,7,12.712499999999999,1498.0,97.7,134.0,4000.0,4000.0
199,15000,Petrol,Individual,Manual,First Owner,5.0,3,12.75,1497.0,121.36,150.0,4500.0,4500.0
200,140000,Petrol,Individual,Manual,First Owner,5.0,5,15.3825,998.0,67.04,90.0,3500.0,3500.0
201,70000,Diesel,Individual,Manual,First Owner,7.0,8,10.9055,2696.0,162.0,340.0,1800.0,3250.0
202,120000,Diesel,Individual,Manual,Second Owner,7.0,8,14.6285,1493.0,100.0,240.0,1600.0,2800.0
203,110000,Diesel,Individual,Manual,Second Owner,5.0,11,17.935000000000002,1248.0,73.9,190.0,2000.0,2000.0
204,37000,Diesel,Individual,Manual,First Owner,5.0,4,16.7195,1582.0,126.2,259.9,1900.0,2750.0
205,44000,Petrol,Individual,Manual,First Owner,5.0,5,18.8775,799.0,53.3,72.0,4386.0,4386.0
206,80000,Diesel,Individual,Manual,First Owner,7.0,6,17.6545,1248.0,88.76,200.0,1750.0,1750.0
207,125000,Diesel,Individual,Manual,First Owner,7.0,6,12.834999999999999,2179.0,140.0,330.0,1600.0,2800.0
208,13500,Petrol,Individual,Manual,First Owner,5.0,4,11.5275,1196.0,73.0,101.0,3000.0,3000.0
209,75000,Petrol,Individual,Manual,First Owner,5.0,10,13.440000000000001,1086.0,62.1,96.1,3000.0,3000.0
210,120000,Petrol,Individual,Manual,Second Owner,5.0,14,9.899999999999999,1495.0,94.0,122.50000000000001,3500.0,3500.0
211,120000,Diesel,Individual,Manual,First Owner,7.0,9,12.834999999999999,2179.0,140.0,330.0,1600.0,2800.0
212,70000,Diesel,Individual,Manual,First Owner,7.0,8,11.0415,2494.0,100.57,200.0,1400.0,3400.0
213,70000,Diesel,Individual,Manual,First Owner,5.0,8,19.889999999999997,1248.0,74.0,190.0,2000.0,2000.0
214,15000,Petrol,Individual,Automatic,First Owner,5.0,2,14.25,1199.0,88.76,110.0,4800.0,4800.0
215,53000,Petrol,Individual,Manual,Second Owner,5.0,12,15.27,1197.0,78.9,111.8,4000.0,4000.0
216,120000,Diesel,Individual,Manual,Second Owner,5.0,7,19.889999999999997,1248.0,74.0,190.0,2000.0,2000.0
217,70000,Diesel,Individual,Manual,First Owner,7.0,5,20.842,1248.0,88.5,200.0,1750.0,1750.0
218,120000,Petrol,Individual,Manual,Second Owner,5.0,13,10.649999999999999,1341.0,82.9,115.64000000000001,3200.0,3200.0
219,100000,Petrol,Individual,Manual,Second Owner,5.0,9,13.875,1197.0,80.0,111.72000000000001,4000.0,4000.0
221,100000,Petrol,Individual,Manual,First Owner,5.0,6,15.299999999999999,1197.0,83.11,113.0,4200.0,4200.0
222,162500,Diesel,Individual,Manual,First Owner,5.0,8,16.49,1405.0,70.0,135.4,2500.0,2500.0
223,39000,Diesel,Individual,Manual,First Owner,5.0,4,19.159,1396.0,88.73,219.7,1500.0,2750.0
224,75000,Diesel,Individual,Manual,First Owner,5.0,4,22.78,1248.0,74.0,190.0,2000.0,2000.0
225,50000,Diesel,Individual,Automatic,First Owner,7.0,4,14.96,2179.0,153.86,400.0,1750.0,2500.0
226,40000,Diesel,Individual,Manual,First Owner,8.0,2,14.705,1497.0,121.0,300.0,1750.0,2500.0
227,92500,Diesel,Individual,Manual,First Owner,5.0,8,18.972,1582.0,126.3,259.9,1900.0,2750.0
228,158000,Diesel,Individual,Manual,First Owner,5.0,9,19.889999999999997,1248.0,74.0,190.0,2000.0,2000.0
229,120000,Diesel,Individual,Manual,First Owner,5.0,9,16.405,1248.0,73.9,190.0,2000.0,2000.0
230,50000,Diesel,Individual,Manual,Second Owner,5.0,6,22.099999999999998,1498.0,98.6,200.0,1750.0,1750.0
231,110000,Diesel,Individual,Manual,First Owner,5.0,9,16.405,1248.0,73.9,190.0,2000.0,2000.0
232,2000,Diesel,Individual,Manual,Second Owner,5.0,4,21.59,1186.0,73.97,190.25,1750.0,2250.0
233,70000,Diesel,Individual,Manual,First Owner,5.0,5,23.188,1047.0,69.0,140.0,1800.0,3000.0
234,90000,Petrol,Individual,Automatic,Second Owner,5.0,8,13.4775,1498.0,99.6,134.0,4000.0,4000.0
235,2000,Petrol,Individual,Manual,First Owner,5.0,2,13.950000000000001,1197.0,81.86,117.0,4000.0,4000.0
236,20000,Petrol,Individual,Manual,First Owner,5.0,6,15.637500000000001,1197.0,83.14,115.0,4000.0,4000.0
237,120000,Diesel,Individual,Manual,First Owner,7.0,10,10.88,2494.0,102.0,199.92,1400.0,3400.0
238,35000,Diesel,Individual,Manual,First Owner,6.0,4,14.0675,2498.0,105.0,247.0,1800.0,2000.0
239,193000,Diesel,Individual,Manual,First Owner,5.0,9,16.405,1248.0,73.9,190.0,2000.0,2000.0
240,80000,Petrol,Individual,Manual,First Owner,5.0,7,15.299999999999999,1197.0,81.8,113.0,4200.0,4200.0
241,40000,Petrol,Individual,Manual,First Owner,5.0,2,14.265,1198.0,67.05,104.0,4000.0,4000.0
242,70000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,6,19.159,1396.0,88.73,219.7,1500.0,2750.0
243,122358,Diesel,Individual,Manual,First Owner,9.0,10,10.2425,2179.0,120.0,290.0,1800.0,2800.0
244,120000,Diesel,Individual,Manual,First Owner,5.0,4,23.188,1047.0,69.0,140.0,1800.0,3000.0
245,40000,Petrol,Individual,Manual,First Owner,5.0,6,13.1775,1193.0,88.7,140.0,1500.0,4000.0
246,33033,Petrol,Dealer,Manual,First Owner,5.0,7,14.549999999999999,1198.0,86.8,109.0,4500.0,4500.0
247,63063,Petrol,Dealer,Automatic,First Owner,5.0,6,14.174999999999999,1197.0,82.0,114.0,4000.0,4000.0
